Bezeichnung,PREIS,TROCKENSORTIMENT,WARENGRUPPE
Y,,Gewürze,
Y,,Gewürze,N
Y,,Saucen,
Y,,Gewürze,
Goutess Rosa Beeren (360 g),2.99,YS,Gewürze
Goutess Rosa Beeren (160 g),3.95,Y,Gewürze
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),4.55,Y,Gewürze
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),4.55,Y,Gewürze
Weber Fisch Barbecue Gewürz (18 g),9.9,Y,Gewürze
Nick BBQ Chicken & Sparerib Sauce (140 ml),2.99,Y,Saucen
Nick BBQ Caribbean Banana Sauce (140 ml),3.99,Y,Saucen
Nick BBQ Hot Chili Sauce (140 ml),1.99,Y,Saucen
Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz (18 g),19.0,Y,Gewürze
Landliebe Butter rahmig-frisch streichzart (250 g),1.99,N,Milch
Nestlé Beba Optipro Pre von Geburt an (800 g),14.99,Y,Müsli & Cerealien
Nestlé Nesquik Buchstaben Cerealien (325 g) Schoko & Vollkorn,2.89,Y,Müsli & Cerealien
Kellogg's Star Wars (350 g) Schoko & Vollkorn,2.89,Y,Müsli & Cerealien
Kellogg's Choco Krispies (600 g) Schoko & Vollkorn,3.79,Y,Müsli & Cerealien
Basic Cornflakes ungesüßt (330 g) Schoko & Vollkorn,2.19,Y,Müsli & Cerealien
Schär Cornflakes (250 g) Schoko & Vollkorn,1.99,Y,Müsli & Cerealien
Dr. Oetker Vitalis Knusper Pop Müsli Schoko (450 g),2.99,Y,Müsli & Cerealien
Goutess Rosa Beeren (360 g),,Y,Gewürze
Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz (18 g),,Y,Gewürze
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),,Y,Gewürze
Nick BBQ Hot Chili Sauce (140 ml),,Y,Saucen
Goutess Rosa Beeren (160 g),,Y,Gewürze
Nick BBQ Chicken & Sparerib Sauce (140 ml),,Y,Saucen
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),,Y,Gewürze
Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Nick BBQ Caribbean Banana Sauce (140 ml),,Y,Saucen
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),,Y,Gewürze
Nick BBQ Hot Chili Sauce (140 ml),,Y,Saucen
Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz (18 g),,Y,Gewürze
Goutess Rosa Beeren (360 g),,Y,Gewürze
Nick BBQ Caribbean Banana Sauce (140 ml),,Y,Saucen
Goutess Rosa Beeren (160 g),,Y,Gewürze
Nick BBQ Chicken & Sparerib Sauce (140 ml),,Y,Saucen
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),,Y,Gewürze
Weber Fisch Barbecue Gewürz (18 g),,Y,Gewürze
Y,,Müsli & Cerealien,2.89
Y,,Müsli & Cerealien,3.79
Y,,Gewürze,
Y,,Saucen,
Y,,Gewürze,
Y,,Gewürze,
"Gala Caffé Crema (217,60 g)",,Y,Kaffee
Y,,Gewürze,
N,,Milch,1.99
Y,,Müsli & Cerealien,14.99
Y,,Müsli & Cerealien,2.89
Y,,Müsli & Cerealien,2.19
Y,,Müsli & Cerealien,1.99
Y,,Gewürze,
Y,,Gewürze,N
Y,,Saucen,
Y,,Gewürze,
Goutess Rosa Beeren (360 g),2.99,YS,Gewürze
Goutess Rosa Beeren (160 g),3.95,Y,Gewürze
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),4.55,Y,Gewürze
Weber Exotic Pfeffer Gewürzmühle King Size (210 g),4.55,Y,Gewürze
Weber Fisch Barbecue Gewürz (18 g),9.9,Y,Gewürze
Nick BBQ Chicken & Sparerib Sauce (140 ml),2.99,Y,Saucen
Nick BBQ Caribbean Banana Sauce (140 ml),3.99,Y,Saucen
Nick BBQ Hot Chili Sauce (140 ml),1.99,Y,Saucen
Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz Weber Fisch Barbecue Gewürz (18 g),19.0,Y,Gewürze
Landliebe Butter rahmig-frisch streichzart (250 g),1.99,N,Milch
Nestlé Beba Optipro Pre von Geburt an (800 g),14.99,Y,Müsli & Cerealien
Nestlé Nesquik Buchstaben Cerealien (325 g) Schoko & Vollkorn,2.89,Y,Müsli & Cerealien
Kellogg's Star Wars (350 g) Schoko & Vollkorn,2.89,Y,Müsli & Cerealien
Kellogg's Choco Krispies (600 g) Schoko & Vollkorn,3.79,Y,Müsli & Cerealien
Basic Cornflakes ungesüßt (330 g) Schoko & Vollkorn,2.19,Y,Müsli & Cerealien
Schär Cornflakes (250 g) Schoko & Vollkorn,1.99,Y,Müsli & Cerealien
Dr. Oetker Vitalis Knusper Pop Müsli Schoko (450 g),2.99,Y,Müsli & Cerealien
